Date,Action
09/04/2012,"maize sow plants = 8.04 (plants/m^2), sowing_depth = 51., cultivar = B_105, row_spacing = 762, crop_class = maize !stand counts taken 5/24"
09/04/2012,"maize sow plants = 8.04 (plants/m^2), sowing_depth = 51., cultivar = B_105, row_spacing = 762, crop_class = maize !stand counts taken 5/24"
09/04/2012,"maize sow plants = 8.04 (plants/m^2), sowing_depth = 51., cultivar = B_105, row_spacing = 762, crop_class = maize !stand counts taken 5/24"
09/04/2012,"maize sow plants = 8.04 (plants/m^2), sowing_depth = 51., cultivar = B_105, row_spacing = 762, crop_class = maize !stand counts taken 5/24"
14/05/2012,"soybean sow plants = 36.74 (plants/m^2), sowing_depth = 38., cultivar = MG_2, row_spacing = 762, crop_class = plant !counts taken 6/1"
14/05/2012,"soybean sow plants = 36.74 (plants/m^2), sowing_depth = 38., cultivar = MG_2, row_spacing = 762, crop_class = plant !counts taken 6/1"
14/05/2012,"soybean sow plants = 36.74 (plants/m^2), sowing_depth = 38., cultivar = MG_2, row_spacing = 762, crop_class = plant !counts taken 6/1"
14/05/2012,"soybean sow plants = 36.74 (plants/m^2), sowing_depth = 38., cultivar = MG_2, row_spacing = 762, crop_class = plant !counts taken 6/1"
15/05/2013,"maize sow plants = 8.13 (plants/m^2), sowing_depth = 51., cultivar = B_105, row_spacing = 762, crop_class = maize !standcounts taken 6/6, yes counts are higher than seeding rate"
15/05/2013,"maize sow plants = 8.13 (plants/m^2), sowing_depth = 51., cultivar = B_105, row_spacing = 762, crop_class = maize !standcounts taken 6/6, yes counts are higher than seeding rate"
15/05/2013,"maize sow plants = 8.13 (plants/m^2), sowing_depth = 51., cultivar = B_105, row_spacing = 762, crop_class = maize !standcounts taken 6/6, yes counts are higher than seeding rate"
15/05/2013,"maize sow plants = 8.13 (plants/m^2), sowing_depth = 51., cultivar = B_105, row_spacing = 762, crop_class = maize !standcounts taken 6/6, yes counts are higher than seeding rate"
15/05/2013,"soybean sow plants = 34.64 (plants/m^2), sowing_depth = 38., cultivar = MG_2, row_spacing = 762, crop_class = plant !stand counts taken 7/19"
15/05/2013,"soybean sow plants = 34.64 (plants/m^2), sowing_depth = 38., cultivar = MG_2, row_spacing = 762, crop_class = plant !stand counts taken 7/19"
15/05/2013,"soybean sow plants = 34.64 (plants/m^2), sowing_depth = 38., cultivar = MG_2, row_spacing = 762, crop_class = plant !stand counts taken 7/19"
15/05/2013,"soybean sow plants = 34.64 (plants/m^2), sowing_depth = 38., cultivar = MG_2, row_spacing = 762, crop_class = plant !stand counts taken 7/19"
22/04/2014,"maize sow plants = 7.54 (plants/m^2), sowing_depth = 51., cultivar = B_105, row_spacing = 762, crop_class = maize !standcounts taken 6/5"
22/04/2014,"maize sow plants = 7.54 (plants/m^2), sowing_depth = 51., cultivar = B_105, row_spacing = 762, crop_class = maize !standcounts taken 6/5"
