year,date,doy,plot_id,ear_id,rows_nu
2018,2018-09-27,270,2018_28,p28-1,16
2018,2018-09-27,270,2018_28,p28-2,16
2018,2018-09-27,270,2018_28,p28-3,12
2018,2018-09-27,270,2018_28,p28-4,18
2018,2018-09-27,270,2018_28,p28-5,16
2018,2018-09-27,270,2018_28,p28-6,16
2018,2018-09-27,270,2018_28,p28-7,14
2018,2018-09-27,270,2018_28,p28-8,16
2018,2018-09-27,270,2018_28,p28-1,12
2018,2018-09-27,270,2018_37,p37-2,16
2018,2018-09-27,270,2018_37,p37-3,14
2018,2018-09-27,270,2018_37,p37-4,16
2018,2018-09-27,270,2018_37,p37-5,14
2018,2018-09-27,270,2018_37,p37-6,16
2018,2018-09-27,270,2018_37,p37-7,16
2018,2018-09-27,270,2018_37,p37-8,16
2018,2018-09-27,270,2018_18,p18-1,14
2018,2018-09-27,270,2018_18,p18-2,14
2018,2018-09-27,270,2018_18,p18-3,16
2018,2018-09-27,270,2018_18,p18-4,16
2018,2018-09-27,270,2018_18,p18-5,16
2018,2018-09-27,270,2018_18,p18-6,16
2018,2018-09-27,270,2018_18,p18-7,14
2018,2018-09-27,270,2018_18,p18-8,16
2018,2018-09-27,270,2018_34,p34-1,14
2018,2018-09-27,270,2018_34,p34-2,16
2018,2018-09-27,270,2018_34,p34-3,16
2018,2018-09-27,270,2018_34,p34-4,16
2018,2018-09-27,270,2018_34,p34-5,14
2018,2018-09-27,270,2018_34,p34-6,16
2018,2018-09-27,270,2018_34,p34-7,14
2018,2018-09-27,270,2018_34,p34-8,NA
2018,2018-09-27,270,2018_44,p44-1,16
2018,2018-09-27,270,2018_44,p44-2,18
2018,2018-09-27,270,2018_44,p44-3,16
2018,2018-09-27,270,2018_44,p44-4,16
2018,2018-09-27,270,2018_44,p44-5,16
2018,2018-09-27,270,2018_44,p44-6,14
2018,2018-09-27,270,2018_44,p44-7,16
2018,2018-09-27,270,2018_44,p44-8,NA
2018,2018-09-27,270,2018_13,p13-1,14
2018,2018-09-27,270,2018_13,p13-2,18
2018,2018-09-27,270,2018_13,p13-3,16
2018,2018-09-27,270,2018_13,p13-4,14
2018,2018-09-27,270,2018_13,p13-5,16
2018,2018-09-27,270,2018_13,p13-6,16
2018,2018-09-27,270,2018_13,p13-7,NA
2018,2018-09-27,270,2018_13,p13-8,NA
2018,2018-09-27,270,2018_24,p24-1,14
2018,2018-09-27,270,2018_24,p24-2,16
2018,2018-09-27,270,2018_24,p24-3,16
2018,2018-09-27,270,2018_24,p24-4,18
2018,2018-09-27,270,2018_24,p24-5,16
2018,2018-09-27,270,2018_24,p24-6,16
2018,2018-09-27,270,2018_24,p24-7,16
2018,2018-09-27,270,2018_24,p24-8,NA
2018,2018-09-27,270,2018_46,p46-1,18
2018,2018-09-27,270,2018_46,p46-2,14
2018,2018-09-27,270,2018_46,p46-3,16
2018,2018-09-27,270,2018_46,p46-4,16
2018,2018-09-27,270,2018_46,p46-5,16
2018,2018-09-27,270,2018_46,p46-6,16
2018,2018-09-27,270,2018_46,p46-7,16
2018,2018-09-27,270,2018_46,p46-8,14
